Log Number,Local Time,Elapsed Time,Value
1,23:04:19,00:00.4,Distance in cm : 375.14       
2,23:04:19,00:00.5,Distance in cm : 372.64       
3,23:04:19,00:00.5,Distance in cm : 372.66       
4,23:04:19,00:00.5,Distance in cm : 372.62       
5,23:04:19,00:00.5,Distance in cm : 370.96       
6,23:04:19,00:00.6,Distance in cm : 371.43       
7,23:04:19,00:00.6,Distance in cm : 371.06       
8,23:04:19,00:00.6,Distance in cm : 373.51       
9,23:04:19,00:00.7,Distance in cm : 371.50       
10,23:04:19,00:00.7,Distance in cm : 374.36       
11,23:04:19,00:00.7,Distance in cm : 370.94       
12,23:04:19,00:00.7,Distance in cm : 371.04       
13,23:04:19,00:00.8,Distance in cm : 371.38       
14,23:04:19,00:00.8,Distance in cm : 370.96       
15,23:04:19,00:00.8,Distance in cm : 371.48       
16,23:04:19,00:00.8,Distance in cm : 371.82       
17,23:04:19,00:00.9,Distance in cm : 371.40       
18,23:04:19,00:00.9,Distance in cm : 372.33       
19,23:04:19,00:00.9,Distance in cm : 370.96       
20,23:04:19,00:00.9,Distance in cm : 371.38       
21,23:04:19,00:01.0,Distance in cm : 372.15       
22,23:04:19,00:01.0,Distance in cm : 371.33       
23,23:04:19,00:01.0,Distance in cm : 370.79       
24,23:04:19,00:01.0,Distance in cm : 371.23       
25,23:04:19,00:01.1,Distance in cm : 370.92       
26,23:04:19,00:01.1,Distance in cm : 372.93       
27,23:04:19,00:01.1,Distance in cm : 370.94       
28,23:04:19,00:01.1,Distance in cm : 371.89       
29,23:04:19,00:01.2,Distance in cm : 371.38       
30,23:04:19,00:01.2,Distance in cm : 372.23       
31,23:04:19,00:01.2,Distance in cm : 371.47       
32,23:04:19,00:01.3,Distance in cm : 370.94       
33,23:04:19,00:01.3,Distance in cm : 371.40       
34,23:04:19,00:01.3,Distance in cm : 373.61       
35,23:04:19,00:01.3,Distance in cm : 371.38       
36,23:04:19,00:01.4,Distance in cm : 371.06       
37,23:04:19,00:01.4,Distance in cm : 371.08       
38,23:04:19,00:01.4,Distance in cm : 371.82       
39,23:04:19,00:01.4,Distance in cm : 371.42       
40,23:04:20,00:01.5,Distance in cm : 371.91       
41,23:04:20,00:01.5,Distance in cm : 371.40       
42,23:04:20,00:01.5,Distance in cm : 371.52       
43,23:04:20,00:01.5,Distance in cm : 371.38       
44,23:04:20,00:01.6,Distance in cm : 370.94       
45,23:04:20,00:01.8,Distance in cm : 373.51       
46,23:04:20,00:01.8,Distance in cm : 371.38       
47,23:04:20,00:01.8,Distance in cm : 371.93       
48,23:04:20,00:01.8,Distance in cm : 373.92       
49,23:04:20,00:01.8,Distance in cm : 371.81       
50,23:04:20,00:01.8,Distance in cm : 373.18       
51,23:04:20,00:01.8,Distance in cm : 371.37       
52,23:04:20,00:01.9,Distance in cm : 372.28       
53,23:04:20,00:01.9,Distance in cm : 371.79       
54,23:04:20,00:01.9,Distance in cm : 371.81       
55,23:04:20,00:01.9,Distance in cm : 371.04       
56,23:04:20,00:01.9,Distance in cm : 372.23       
57,23:04:20,00:01.9,Distance in cm : 371.40       
58,23:04:20,00:01.9,Distance in cm : 375.17       
59,23:04:20,00:02.0,Distance in cm : 371.81       
60,23:04:20,00:02.0,Distance in cm : 371.91       
61,23:04:20,00:02.0,Distance in cm : 371.38       
62,23:04:20,00:02.0,Distance in cm : 370.94       
63,23:04:20,00:02.1,Distance in cm : 371.91       
64,23:04:20,00:02.1,Distance in cm : 372.23       
65,23:04:20,00:02.1,Distance in cm : 374.87       
66,23:04:20,00:02.1,Distance in cm : 371.79       
67,23:04:20,00:02.2,Distance in cm : 371.37       
68,23:04:20,00:02.2,Distance in cm : 373.18       
69,23:04:20,00:02.2,Distance in cm : 371.38       
70,23:04:20,00:02.2,Distance in cm : 371.06       
71,23:04:20,00:02.3,Distance in cm : 371.38       
72,23:04:20,00:02.3,Distance in cm : 370.96       
73,23:04:20,00:02.3,Distance in cm : 371.04       
74,23:04:20,00:02.3,Distance in cm : 370.92       
75,23:04:20,00:02.4,Distance in cm : 371.38       
76,23:04:20,00:02.4,Distance in cm : 371.79       
77,23:04:20,00:02.4,Distance in cm : 371.40       
78,23:04:21,00:02.4,Distance in cm : 371.04       
79,23:04:21,00:02.5,Distance in cm : 371.81       
80,23:04:21,00:02.5,Distance in cm : 371.81       
81,23:04:21,00:02.5,Distance in cm : 371.91       
82,23:04:21,00:02.5,Distance in cm : 371.82       
83,23:04:21,00:02.6,Distance in cm : 371.47       
84,23:04:21,00:02.6,Distance in cm : 371.81       
85,23:04:21,00:02.6,Distance in cm : 371.82       
86,23:04:21,00:02.7,Distance in cm : 372.76       
87,23:04:21,00:02.7,Distance in cm : 373.08       
88,23:04:21,00:02.7,Distance in cm : 370.63       
89,23:04:21,00:02.7,Distance in cm : 372.23       
90,23:04:21,00:02.8,Distance in cm : 370.94       
91,23:04:21,00:02.8,Distance in cm : 371.50       
92,23:04:21,00:02.8,Distance in cm : 370.94       
93,23:04:21,00:02.8,Distance in cm : 371.93       
94,23:04:21,00:02.9,Distance in cm : 371.82       
95,23:04:21,00:02.9,Distance in cm : 371.84       
96,23:04:21,00:02.9,Distance in cm : 370.60       
97,23:04:21,00:02.9,Distance in cm : 372.23       
98,23:04:21,00:03.0,Distance in cm : 370.96       
99,23:04:21,00:03.0,Distance in cm : 371.81       
100,23:04:21,00:03.0,Distance in cm : 371.38       
101,23:04:21,00:03.0,Distance in cm : 371.06       
102,23:04:21,00:03.1,Distance in cm : 371.79       
103,23:04:21,00:03.1,Distance in cm : 370.94       
104,23:04:21,00:03.1,Distance in cm : 371.50       
105,23:04:21,00:03.1,Distance in cm : 371.40       
106,23:04:21,00:03.2,Distance in cm : 372.35       
107,23:04:21,00:03.2,Distance in cm : 370.53       
108,23:04:21,00:03.2,Distance in cm : 371.38       
109,23:04:21,00:03.3,Distance in cm : 371.48       
110,23:04:21,00:03.3,Distance in cm : 371.38       
111,23:04:21,00:03.3,Distance in cm : 371.01       
112,23:04:21,00:03.3,Distance in cm : 371.37       
