Log Number,Local Time,Elapsed Time,Value
1                             ,20:25:56                      ,00:00:00.247856               ,11.53                         
2                             ,20:25:56                      ,00:00:00.309555               ,11.53                         
3                             ,20:25:56                      ,00:00:00.325679               ,11.46                         
4                             ,20:25:56                      ,00:00:00.325679               ,11.39                         
5                             ,20:25:56                      ,00:00:00.341305               ,11.46                         
6                             ,20:25:56                      ,00:00:00.356928               ,11.05                         
7                             ,20:25:56                      ,00:00:00.483042               ,11.05                         
8                             ,20:25:56                      ,00:00:00.686493               ,11.46                         
9                             ,20:25:56                      ,00:00:00.875792               ,11.46                         
10                            ,20:25:57                      ,00:00:01.080762               ,11.20                         
11                            ,20:25:57                      ,00:00:01.285147               ,11.10                         
12                            ,20:25:57                      ,00:00:01.489688               ,11.61                         
13                            ,20:25:57                      ,00:00:01.694082               ,11.46                         
14                            ,20:25:57                      ,00:00:01.908591               ,11.63                         
15                            ,20:25:58                      ,00:00:02.107991               ,11.51                         
16                            ,20:25:58                      ,00:00:02.308545               ,11.15                         
17                            ,20:25:58                      ,00:00:02.518643               ,11.12                         
18                            ,20:25:58                      ,00:00:02.722519               ,11.20                         
19                            ,20:25:58                      ,00:00:02.926070               ,11.58                         
20                            ,20:25:59                      ,00:00:03.128608               ,11.27                         
21                            ,20:25:59                      ,00:00:03.328953               ,11.15                         
22                            ,20:25:59                      ,00:00:03.535716               ,11.27                         
23                            ,20:25:59                      ,00:00:03.739156               ,11.65                         
24                            ,20:25:59                      ,00:00:03.943579               ,11.32                         
25                            ,20:26:00                      ,00:00:04.141527               ,11.27                         
26                            ,20:26:00                      ,00:00:04.345005               ,11.44                         
27                            ,20:26:00                      ,00:00:04.552994               ,11.46                         
28                            ,20:26:00                      ,00:00:04.755509               ,11.68                         
29                            ,20:26:00                      ,00:00:04.961097               ,11.75                         
30                            ,20:26:01                      ,00:00:05.160287               ,11.85                         
31                            ,20:26:01                      ,00:00:05.367343               ,12.29                         
32                            ,20:26:01                      ,00:00:05.570037               ,12.09                         
33                            ,20:26:01                      ,00:00:05.773959               ,12.39                         
34                            ,20:26:01                      ,00:00:05.973985               ,12.34                         
35                            ,20:26:02                      ,00:00:06.175819               ,12.41                         
36                            ,20:26:02                      ,00:00:06.379378               ,12.10                         
37                            ,20:26:02                      ,00:00:06.589305               ,12.82                         
38                            ,20:26:02                      ,00:00:06.790804               ,12.58                         
39                            ,20:26:02                      ,00:00:06.995459               ,13.04                         
40                            ,20:26:03                      ,00:00:07.200186               ,13.58                         
41                            ,20:26:03                      ,00:00:07.403870               ,13.94                         
42                            ,20:26:03                      ,00:00:07.606750               ,13.70                         
43                            ,20:26:03                      ,00:00:07.806634               ,13.46                         
44                            ,20:26:03                      ,00:00:08.010256               ,13.46                         
45                            ,20:26:04                      ,00:00:08.218315               ,12.99                         
46                            ,20:26:04                      ,00:00:08.422029               ,12.34                         
47                            ,20:26:04                      ,00:00:08.623600               ,11.17                         
48                            ,20:26:04                      ,00:00:08.823511               ,10.73                         
49                            ,20:26:04                      ,00:00:09.031183               ,10.29                         
50                            ,20:26:05                      ,00:00:09.234374               ,9.20                          
51                            ,20:26:05                      ,00:00:09.437623               ,8.79                          
52                            ,20:26:05                      ,00:00:09.641041               ,8.69                          
53                            ,20:26:05                      ,00:00:09.841145               ,8.60                          
54                            ,20:26:05                      ,00:00:10.046380               ,8.31                          
55                            ,20:26:06                      ,00:00:10.250754               ,8.04                          
56                            ,20:26:06                      ,00:00:10.454161               ,7.79                          
57                            ,20:26:06                      ,00:00:10.650619               ,8.48                          
58                            ,20:26:06                      ,00:00:10.858403               ,10.68                         
59                            ,20:26:06                      ,00:00:11.058919               ,11.75                         
60                            ,20:26:07                      ,00:00:11.269079               ,12.82                         
61                            ,20:26:07                      ,00:00:11.467352               ,13.58                         
62                            ,20:26:07                      ,00:00:11.672069               ,14.28                         
63                            ,20:26:07                      ,00:00:11.879777               ,15.35                         
64                            ,20:26:07                      ,00:00:12.076596               ,15.54                         
65                            ,20:26:08                      ,00:00:12.287543               ,16.42                         
66                            ,20:26:08                      ,00:00:12.491339               ,16.61                         
67                            ,20:26:08                      ,00:00:12.694540               ,17.54                         
68                            ,20:26:08                      ,00:00:12.894886               ,18.19                         
69                            ,20:26:09                      ,00:00:13.102972               ,18.62                         
70                            ,20:26:09                      ,00:00:13.306903               ,19.23                         
71                            ,20:26:09                      ,00:00:13.503843               ,19.79                         
72                            ,20:26:09                      ,00:00:13.714619               ,19.48                         
73                            ,20:26:09                      ,00:00:13.918967               ,18.07                         
74                            ,20:26:10                      ,00:00:14.117493               ,16.42                         
75                            ,20:26:10                      ,00:00:14.318419               ,15.23                         
76                            ,20:26:10                      ,00:00:14.528334               ,14.28                         
77                            ,20:26:10                      ,00:00:14.727218               ,13.41                         
78                            ,20:26:10                      ,00:00:14.937307               ,12.77                         
79                            ,20:26:11                      ,00:00:15.135535               ,11.93                         
80                            ,20:26:11                      ,00:00:15.342935               ,11.29                         
81                            ,20:26:11                      ,00:00:15.545740               ,10.66                         
82                            ,20:26:11                      ,00:00:15.749758               ,9.57                          
83                            ,20:26:11                      ,00:00:15.949376               ,9.21                          
84                            ,20:26:12                      ,00:00:16.150198               ,9.20                          
85                            ,20:26:12                      ,00:00:16.359239               ,10.39                         
86                            ,20:26:12                      ,00:00:16.564820               ,13.28                         
87                            ,20:26:12                      ,00:00:16.762316               ,14.82                         
88                            ,20:26:12                      ,00:00:16.971751               ,16.59                         
89                            ,20:26:13                      ,00:00:17.175312               ,18.07                         
90                            ,20:26:13                      ,00:00:17.380225               ,18.55                         
91                            ,20:26:13                      ,00:00:17.584167               ,19.86                         
92                            ,20:26:13                      ,00:00:17.788035               ,20.91                         
93                            ,20:26:13                      ,00:00:17.992231               ,21.39                         
