Log Number,Local Time,Elapsed Time,Value
1                             ,00:22:54                      ,00:00:00.291578               ,1182.45                       
2                             ,00:22:54                      ,00:00:00.564255               ,1182.47                       
3                             ,00:22:55                      ,00:00:00.837052               ,1182.42                       
4                             ,00:22:55                      ,00:00:01.109394               ,1182.32                       
5                             ,00:22:55                      ,00:00:01.381520               ,1182.33                       
6                             ,00:22:55                      ,00:00:01.654476               ,1182.35                       
7                             ,00:22:56                      ,00:00:01.927263               ,1182.45                       
8                             ,00:22:56                      ,00:00:02.200192               ,1182.27                       
9                             ,00:22:56                      ,00:00:02.472053               ,1182.30                       
10                            ,00:22:56                      ,00:00:02.744286               ,1182.32                       
11                            ,00:22:57                      ,00:00:03.017533               ,1182.27                       
12                            ,00:22:57                      ,00:00:03.289646               ,1182.35                       
13                            ,00:22:57                      ,00:00:03.562702               ,1182.30                       
14                            ,00:22:58                      ,00:00:03.835363               ,1182.21                       
15                            ,00:22:58                      ,00:00:04.107838               ,1182.25                       
16                            ,00:22:58                      ,00:00:04.379673               ,1182.30                       
17                            ,00:22:58                      ,00:00:04.652985               ,1182.28                       
18                            ,00:22:59                      ,00:00:04.924861               ,1182.42                       
19                            ,00:22:59                      ,00:00:05.197741               ,1182.38                       
20                            ,00:22:59                      ,00:00:05.470595               ,1182.33                       
21                            ,00:22:59                      ,00:00:05.743300               ,1182.40                       
22                            ,00:23:00                      ,00:00:06.015046               ,1182.50                       
23                            ,00:23:00                      ,00:00:06.288445               ,1182.42                       
24                            ,00:23:00                      ,00:00:06.560009               ,1182.38                       
25                            ,00:23:01                      ,00:00:06.833558               ,1182.61                       
26                            ,00:23:01                      ,00:00:07.106085               ,1182.45                       
27                            ,00:23:01                      ,00:00:07.378604               ,1182.47                       
28                            ,00:23:01                      ,00:00:07.651628               ,1182.25                       
29                            ,00:23:02                      ,00:00:07.923336               ,1182.28                       
30                            ,00:23:02                      ,00:00:08.196010               ,1182.33                       
31                            ,00:23:02                      ,00:00:08.469077               ,1182.32                       
32                            ,00:23:02                      ,00:00:08.741015               ,1182.25                       
33                            ,00:23:03                      ,00:00:09.013760               ,1182.21                       
34                            ,00:23:03                      ,00:00:09.286303               ,1182.40                       
35                            ,00:23:03                      ,00:00:09.559639               ,1182.69                       
36                            ,00:23:04                      ,00:00:09.831698               ,1182.38                       
37                            ,00:23:04                      ,00:00:10.104409               ,1182.27                       
38                            ,00:23:04                      ,00:00:10.377153               ,1182.55                       
39                            ,00:23:04                      ,00:00:10.650013               ,1182.50                       
40                            ,00:23:05                      ,00:00:10.921552               ,1182.30                       
41                            ,00:23:05                      ,00:00:11.194864               ,1182.38                       
42                            ,00:23:05                      ,00:00:11.467054               ,1182.30                       
43                            ,00:23:05                      ,00:00:11.738906               ,1182.37                       
44                            ,00:23:06                      ,00:00:12.012612               ,1182.20                       
45                            ,00:23:06                      ,00:00:12.284931               ,1182.54                       
46                            ,00:23:06                      ,00:00:12.557246               ,1182.32                       
47                            ,00:23:07                      ,00:00:12.829535               ,1182.20                       
48                            ,00:23:07                      ,00:00:13.101972               ,1182.30                       
49                            ,00:23:07                      ,00:00:13.374929               ,1182.37                       
50                            ,00:23:07                      ,00:00:13.647805               ,1182.55                       
51                            ,00:23:08                      ,00:00:13.920221               ,1182.44                       
52                            ,00:23:08                      ,00:00:14.193339               ,1182.44                       
53                            ,00:23:08                      ,00:00:14.466094               ,1182.44                       
54                            ,00:23:08                      ,00:00:14.738170               ,1182.62                       
55                            ,00:23:09                      ,00:00:15.010538               ,1182.67                       
56                            ,00:23:09                      ,00:00:15.282810               ,1182.54                       
57                            ,00:23:09                      ,00:00:15.555887               ,1182.59                       
58                            ,00:23:10                      ,00:00:15.828121               ,1182.57                       
59                            ,00:23:10                      ,00:00:16.101674               ,1182.64                       
60                            ,00:23:10                      ,00:00:16.374301               ,1182.52                       
61                            ,00:23:10                      ,00:00:16.646038               ,1182.44                       
62                            ,00:23:11                      ,00:00:16.919247               ,1182.40                       
63                            ,00:23:11                      ,00:00:17.191525               ,1182.50                       
64                            ,00:23:11                      ,00:00:17.464355               ,1182.50                       
65                            ,00:23:11                      ,00:00:17.736339               ,1182.49                       
66                            ,00:23:12                      ,00:00:18.008872               ,1182.47                       
67                            ,00:23:12                      ,00:00:18.282463               ,1182.47                       
68                            ,00:23:12                      ,00:00:18.554734               ,1182.47                       
69                            ,00:23:13                      ,00:00:18.827700               ,1182.49                       
70                            ,00:23:13                      ,00:00:19.100074               ,1182.52                       
71                            ,00:23:13                      ,00:00:19.372512               ,1182.49                       
72                            ,00:23:13                      ,00:00:19.645075               ,1182.49                       
73                            ,00:23:14                      ,00:00:19.917294               ,1182.57                       
74                            ,00:23:14                      ,00:00:20.190796               ,1182.61                       
75                            ,00:23:14                      ,00:00:20.463131               ,1182.50                       
76                            ,00:23:14                      ,00:00:20.735090               ,1182.50                       
77                            ,00:23:15                      ,00:00:21.007874               ,1182.55                       
78                            ,00:23:15                      ,00:00:21.280909               ,1182.45                       
79                            ,00:23:15                      ,00:00:21.552961               ,1182.13                       
80                            ,00:23:16                      ,00:00:21.825370               ,1182.33                       
81                            ,00:23:16                      ,00:00:22.097905               ,1182.44                       
82                            ,00:23:16                      ,00:00:22.370830               ,1182.54                       
83                            ,00:23:16                      ,00:00:22.642571               ,1182.35                       
84                            ,00:23:17                      ,00:00:22.916238               ,1182.37                       
85                            ,00:23:17                      ,00:00:23.189070               ,1182.44                       
86                            ,00:23:17                      ,00:00:23.461133               ,1182.35                       
87                            ,00:23:17                      ,00:00:23.733482               ,1182.25                       
88                            ,00:23:18                      ,00:00:24.006456               ,1182.52                       
89                            ,00:23:18                      ,00:00:24.279097               ,1182.25                       
90                            ,00:23:18                      ,00:00:24.555053               ,1182.44                       
91                            ,00:23:19                      ,00:00:24.823482               ,1182.35                       
92                            ,00:23:19                      ,00:00:25.096128               ,1182.20                       
93                            ,00:23:19                      ,00:00:25.369226               ,1182.27                       
94                            ,00:23:19                      ,00:00:25.641774               ,1182.37                       
95                            ,00:23:20                      ,00:00:25.913945               ,1182.35                       
96                            ,00:23:20                      ,00:00:26.186862               ,1182.37                       
97                            ,00:23:20                      ,00:00:26.459430               ,1182.57                       
98                            ,00:23:20                      ,00:00:26.732482               ,1182.71                       
99                            ,00:23:21                      ,00:00:27.004964               ,1182.47                       
100                           ,00:23:21                      ,00:00:27.277204               ,1182.44                       
101                           ,00:23:21                      ,00:00:27.549221               ,1182.49                       
102                           ,00:23:22                      ,00:00:27.822403               ,1182.40                       
103                           ,00:23:22                      ,00:00:28.094851               ,1182.33                       
104                           ,00:23:22                      ,00:00:28.367505               ,1182.37                       
105                           ,00:23:22                      ,00:00:28.639955               ,1182.33                       
106                           ,00:23:23                      ,00:00:28.913071               ,1182.50                       
107                           ,00:23:23                      ,00:00:29.185584               ,1182.37                       
108                           ,00:23:23                      ,00:00:29.458265               ,1182.38                       
109                           ,00:23:23                      ,00:00:29.730795               ,1182.32                       
110                           ,00:23:24                      ,00:00:30.003298               ,1182.44                       
111                           ,00:23:24                      ,00:00:30.276024               ,1182.32                       
112                           ,00:23:24                      ,00:00:30.548639               ,1182.35                       
113                           ,00:23:25                      ,00:00:30.820297               ,1182.40                       
114                           ,00:23:25                      ,00:00:31.093955               ,1182.38                       
115                           ,00:23:25                      ,00:00:31.365885               ,1182.49                       
116                           ,00:23:25                      ,00:00:31.638050               ,1182.25                       
117                           ,00:23:26                      ,00:00:31.910794               ,1182.38                       
118                           ,00:23:26                      ,00:00:32.183365               ,1182.40                       
119                           ,00:23:26                      ,00:00:32.456254               ,1182.32                       
120                           ,00:23:26                      ,00:00:32.729332               ,1182.16                       
121                           ,00:23:27                      ,00:00:33.001500               ,1182.47                       
122                           ,00:23:27                      ,00:00:33.273401               ,1182.25                       
123                           ,00:23:27                      ,00:00:33.545768               ,1182.28                       
124                           ,00:23:28                      ,00:00:33.818785               ,1182.10                       
125                           ,00:23:28                      ,00:00:34.091680               ,1182.27                       
126                           ,00:23:28                      ,00:00:34.364046               ,1182.18                       
127                           ,00:23:28                      ,00:00:34.636513               ,1182.38                       
128                           ,00:23:29                      ,00:00:34.908833               ,1182.35                       
129                           ,00:23:29                      ,00:00:35.181888               ,1182.44                       
130                           ,00:23:29                      ,00:00:35.387453               ,74.99                         
131                           ,00:23:29                      ,00:00:35.661309               ,1182.37                       
132                           ,00:23:30                      ,00:00:35.865798               ,64.07                         
133                           ,00:23:30                      ,00:00:36.071929               ,64.53                         
134                           ,00:23:30                      ,00:00:36.279384               ,73.98                         
135                           ,00:23:30                      ,00:00:36.485477               ,64.12                         
136                           ,00:23:30                      ,00:00:36.692478               ,73.68                         
137                           ,00:23:31                      ,00:00:36.898182               ,63.72                         
138                           ,00:23:31                      ,00:00:37.105820               ,75.40                         
139                           ,00:23:31                      ,00:00:37.379921               ,1182.40                       
140                           ,00:23:31                      ,00:00:37.653182               ,1182.59                       
141                           ,00:23:32                      ,00:00:37.925575               ,1182.40                       
142                           ,00:23:32                      ,00:00:38.197811               ,1182.49                       
143                           ,00:23:32                      ,00:00:38.470622               ,1182.54                       
144                           ,00:23:32                      ,00:00:38.743525               ,1182.44                       
145                           ,00:23:33                      ,00:00:39.016015               ,1182.38                       
146                           ,00:23:33                      ,00:00:39.288209               ,1182.55                       
147                           ,00:23:33                      ,00:00:39.560950               ,1182.35                       
148                           ,00:23:34                      ,00:00:39.833222               ,1182.47                       
149                           ,00:23:34                      ,00:00:40.105983               ,1182.42                       
150                           ,00:23:34                      ,00:00:40.378477               ,1182.57                       
151                           ,00:23:34                      ,00:00:40.651381               ,1182.55                       
152                           ,00:23:35                      ,00:00:40.923648               ,1182.32                       
153                           ,00:23:35                      ,00:00:41.196219               ,1182.15                       
154                           ,00:23:35                      ,00:00:41.470723               ,1182.45                       
155                           ,00:23:35                      ,00:00:41.741148               ,1182.42                       
156                           ,00:23:36                      ,00:00:42.014559               ,1182.30                       
157                           ,00:23:36                      ,00:00:42.286742               ,1182.33                       
158                           ,00:23:36                      ,00:00:42.559107               ,1182.28                       
159                           ,00:23:37                      ,00:00:42.831965               ,1182.20                       
160                           ,00:23:37                      ,00:00:43.104687               ,1182.35                       
161                           ,00:23:37                      ,00:00:43.376775               ,1182.28                       
162                           ,00:23:37                      ,00:00:43.649898               ,1182.21                       
163                           ,00:23:38                      ,00:00:43.922706               ,1182.33                       
164                           ,00:23:38                      ,00:00:44.194873               ,1182.33                       
165                           ,00:23:38                      ,00:00:44.466945               ,1182.33                       
166                           ,00:23:38                      ,00:00:44.671771               ,63.89                         
167                           ,00:23:39                      ,00:00:44.945959               ,1182.27                       
